date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:26	1212754/1212754	---M-Z	200	added ('OK')	image/png	etag:%22a288fad10ef35ff99bb1e582e5c00246%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/p2e-paper-e5b15f2bb8e6c1e8d2d006e438af5351.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/p2e-paper-e5b15f2bb8e6c1e8d2d006e438af5351.png	(from https://axieinfinity.com/)
01:02:26	3643630/3643630	---M-Z	200	added ('OK')	image/png	etag:%22a5c5a0c82ee71552059923714c565d4f%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/table-e998dfed94a9bbf480ddb8dfc8fae25c.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/table-e998dfed94a9bbf480ddb8dfc8fae25c.png	(from https://axieinfinity.com/)
01:02:27	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:28%20GMT	https://axieinfinity.com/axs	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/axs.1b.delayed	(from https://axieinfinity.com/)
01:02:27	43962/43962	---M-Z	200	added ('OK')	image/png	etag:%229f07d3b2afe15e111b84c2dec1548234%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/wooden-button-1b79079878928aa21ec6a874a54f85b8.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/wooden-button-1b79079878928aa21ec6a874a54f85b8.png	(from https://axieinfinity.com/)
01:02:27	8388012/8388012	---M-Z	200	added ('OK')	image/png	etag:%22652216d961b817c38788209ba5ebe998%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/house-481e14b50d57e954c4e27d140c9212cb.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/house-481e14b50d57e954c4e27d140c9212cb.png	(from https://axieinfinity.com/)
01:02:28	40038/40038	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/axs/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/axs/index.html	(from https://axieinfinity.com/)
01:02:28	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:29%20GMT	https://axieinfinity.com/community-alpha	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/community-alpha.1d.delayed	(from https://axieinfinity.com/)
01:02:29	706581/706581	---M--	200	added ('OK')	image/jpeg	etag:%22390f8dc1d3d88bbc8e62e3bca70f7e83%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/drawer-eb7c690a3e719c4e1fa89440f5504981.jpg	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/drawer-eb7c690a3e719c4e1fa89440f5504981.jpg	(from https://axieinfinity.com/)
01:02:29	43898/43898	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/?download=true	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/index23bf.html	(from https://axieinfinity.com/)
01:02:29	2141817/2141817	---M-Z	200	added ('OK')	image/png	etag:%227ea32925c5d8574b4479e1c85a38bc68%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/drawer-artifacts-c0a2903132da384e7bbd2aad129a46b7.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/drawer-artifacts-c0a2903132da384e7bbd2aad129a46b7.png	(from https://axieinfinity.com/)
01:02:29	198410/198410	---M-Z	200	added ('OK')	image/png	etag:%2246027466abfc5a8ec7453d65af00885f%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/cards-e6167c287dffee939b51956f37dc4360.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/cards-e6167c287dffee939b51956f37dc4360.png	(from https://axieinfinity.com/)
01:02:29	1221219/1221219	---M--	200	added ('OK')	image/jpeg	etag:%22a2b5a664e8e4685c9586b59a1d935368%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/arena-e2c796e23cdd8c171dd56950e96b4f40.jpg	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/arena-e2c796e23cdd8c171dd56950e96b4f40.jpg	(from https://axieinfinity.com/)
01:02:30	1041445/1041445	---M-Z	200	added ('OK')	image/png	etag:%22f1f7d27568c5a815cb0c199f50fd7604%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/flag-772256b0bfc66e39669f2108ec5369a6.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/flag-772256b0bfc66e39669f2108ec5369a6.png	(from https://axieinfinity.com/)
01:02:30	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:31%20GMT	https://axieinfinity.com/battle	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/battle	(from https://axieinfinity.com/)
01:02:30	9245/9245	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/battle/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/battle/index.html	(from https://axieinfinity.com/)
01:02:30	665511/665511	---M-Z	200	added ('OK')	image/png	etag:%2240d24e8b6d04720b82a8eaf97bc7ee82%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/adventure-39ea842a422b6a06a2365ade9075bd52.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/adventure-39ea842a422b6a06a2365ade9075bd52.png	(from https://axieinfinity.com/)
01:02:30	585768/585768	---M-Z	200	added ('OK')	image/png	etag:%228b7d273e36f13d5f0ef646bda2433e98%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/breeding-9e219af5186fc66e913716c8ddb2621e.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/breeding-9e219af5186fc66e913716c8ddb2621e.png	(from https://axieinfinity.com/)
01:02:31	629555/629555	---M-Z	200	added ('OK')	image/png	etag:%22d2af8d3845a7872e4dbea9a81ac86ab8%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/battle-5931a0fe652f7c54505376b293d8638d.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/battle-5931a0fe652f7c54505376b293d8638d.png	(from https://axieinfinity.com/)
01:02:31	571243/571243	---M-Z	200	added ('OK')	image/png	etag:%2234e54ea0d96c6e7875a71c985d16a50e%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/big-cloud-f4b3d17a23329720b12958ca7bca4fe1.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/big-cloud-f4b3d17a23329720b12958ca7bca4fe1.png	(from https://axieinfinity.com/)
01:02:31	497162/497162	---M-Z	200	added ('OK')	image/png	etag:%22687eeb3fb077f92f9c64d75f50ab134d%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/melon-7fd692d5e3bb676d3f39b6dbde3da1c1.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/melon-7fd692d5e3bb676d3f39b6dbde3da1c1.png	(from https://axieinfinity.com/)
01:02:31	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2004:02:32%20GMT	https://axieinfinity.com/land	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/land	(from https://axieinfinity.com/)
